# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	9687
#@/user_id	arsiendle_pc
a;ka 	啊	c=9 d=1.45172 t=9687
chóng;pa,ql shēng;na 	重生	c=1 d=4.91812e-05 t=9687
chóng;pa,ql shēng;na le;aa,vu 	重生了	c=1 d=0.055299 t=9687
chóng;pa,ql xīn;jq 	重新	c=4 d=0.130319 t=9687
chóng;pa,ql xīn;jq lái;am,wb 	重新来	c=1 d=0.582748 t=9687
chóng;pa,ql zuò;rg 	重做	c=1 d=0.00585769 t=9687
chóu;vu jí;mv,vm 	筹集	c=1 d=0.0678809 t=9687
chù;ij,ji fā;ay,fd,vy,yd 	触发	c=9 d=1.00603 t=9687
chù;ij,ji fā;ay,fd,vy,yd fāng;dg,wd,dp,dw shì;gy,yg 	触发方式	c=1 d=0.0997588 t=9687
chú;ey fēi;aa 	除非	c=1 d=0.000685748 t=9687
chú;ey le;aa,vu 	除了	c=4 d=0.625002 t=9687
chún;st 	纯	c=1 d=0.715338 t=9687
chún;st cuì;mz 	纯粹	c=2 d=0.000239969 t=9687
chún;st shù;wl zì;bz 	纯数字	c=1 d=0.0391639 t=9687
chā;fi,fj 	插	c=1 d=0.00102302 t=9687
chā;fi,fj shàng;aa,ba qù;ts 	插上去	c=1 d=0.00252883 t=9687
chā;fi,fj xiàn;sj 	插线	c=2 d=0.00249692 t=9687
chā;yg bié;dl 	差别	c=2 d=0.774932 t=9687
chā;yg yì;cs,sc 	差异	c=1 d=0.946485 t=9687
chā;yg é;yk 	差额	c=1 d=0.0608101 t=9687
chāi;fi 	拆	c=2 d=0.0275612 t=9687
chāi;fi fēn;bd,db 	拆分	c=2 d=5.94723e-05 t=9687
chāi;fi kāi;ac 	拆开	c=1 d=0.000164106 t=9687
chāo;zv cháng;pd 	超长	c=1 d=0.0169922 t=9687
chāo;zv chū;ck,aa 	超出	c=1 d=0.203926 t=9687
chāo;zv chū;ck,aa qù;ts 	超出去	c=1 d=0.212248 t=9687
chē;aa 	车	c=1 d=0.034562 t=9687
chēng;fv chǎng;ty 	撑场	c=1 d=1 t=9683
chī;kq 	吃	c=2 d=0.000190332 t=9687
chī;kq gè;ra,pa fàn;uf 	吃个饭	c=1 d=0.0443785 t=9687
chī;kq shàng;aa,ba 	吃上	c=1 d=0.000116806 t=9687
chī;kq shàng;aa,ba fàn;uf 	吃上饭	c=1 d=0.882497 t=9687
chī;kq wán;by le;aa,vu 	吃完了	c=0 d=1.2341e-05 t=9687
chōng;dv tū;xq,bq 	冲突	c=4 d=0.549351 t=9687
chōng;dy,es,wy diàn;ag,og 	充电	c=0 d=0.0551563 t=9687
chōng;dy,es,wy diàn;ag,og kuǎn;qu 	充电款	c=1 d=0.554327 t=9687
chōng;dy,es,wy shí;bt gǎn;xx 	充实感	c=1 d=0.00326335 t=9687
chōu;fy 	抽	c=1 d=0.778801 t=9687
chōu;fy dào;dv 	抽到	c=1 d=0.782705 t=9687
chū;ck,aa 	出	c=5 d=0.548823 t=9687
chū;ck,aa cuò;jx 	出错	c=2 d=0.588605 t=9687
chū;ck,aa lái;am,wb 	出来	c=2 d=0.273898 t=9687
chū;ck,aa xiàn;wj 	出现	c=7 d=1.4432 t=9687
chū;ck,aa xiàn;wj le;aa,vu 	出现了	c=1 d=0.196912 t=9687
chū;yd dài;ry 	初代	c=1 d=0.0287246 t=9687
chū;yd zhōng;aa,ka 	初中	c=2 d=0.00680573 t=9687
chū;yd zhōng;aa,ka shēng;na 	初中生	c=1 d=0.000131041 t=9687
chǎn;dp,li,wp shēng;na 	产生	c=3 d=0.035388 t=9687
chǎn;md shù;zu 	阐述	c=1 d=0.65377 t=9687
chǒu;aa,at,vt 	丑	c=1 d=0.380983 t=9687
chǔ;wb yú;aa 	处于	c=3 d=0.269823 t=9687
chǔn;ii wèn;km,mk tí;uy,yu 	蠢问题	c=1 d=0.0428521 t=9687
cuò;jx 	错	c=2 d=0.814664 t=9687
cuò;jx le;aa,vu 	错了	c=2 d=0.0658508 t=9687
cuò;jx luàn;ug 	错乱	c=1 d=0.158025 t=9687
cuò;jx wù;yw 	错误	c=2 d=0.0644515 t=9687
cuò;jx zì;bz 	错字	c=1 d=0.000162473 t=9687
cài;cc dān;ba,bd 	菜单	c=3 d=0.188808 t=9687
cái;ap 	才	c=8 d=1.16803 t=9687
cái;ap shì;op,ov 	才是	c=1 d=0.0397558 t=9687
cái;mc liào;md 	材料	c=3 d=1.34796 t=9687
